0,0,0,0,1,2,3,2,3,0,1,0,1,0,1,2,3,2,3,3
0,0,0,1,2,3,1,2,3,1,0,1,0,0,1,2,3,1,2,3
0,0,1,2,3,1,2,3,3,3,3,0,1,0,1,2,3,3,3,3
0,1,2,3,0,1,2,3,3,2,0,0,0,1,2,3,0,1,2,3
0,1,2,3,108,110,110,110,110,110,110,109,0,1,2,3,1,0,1,2
1,2,3,0,137,2,3,3,2,0,1,137,1,2,3,0,1,0,1,2
1,2,3,0,137,2,3,3,0,1,2,137,1,2,3,1,2,0,1,2
2,3,0,1,137,1,2,3,1,2,0,137,2,3,1,2,3,0,1,2
2,3,0,1,137,1,2,3,2,3,0,137,2,3,1,2,0,1,0,1
3,1,2,3,137,1,2,3,3,0,1,137,3,1,2,0,1,2,0,1
3,2,3,0,135,110,113,3,1,141,110,136,3,1,2,0,1,2,0,1
0,1,0,0,1,2,3,3,0,1,2,3,1,2,0,1,2,3,0,1
0,1,0,1,2,3,2,0,1,2,3,0,1,2,0,0,1,2,0,1
0,0,1,2,3,2,0,1,2,3,2,0,1,2,0,1,2,3,0,1
0,1,2,3,1,0,1,2,3,0,0,0,1,2,0,1,2,3,0,1
1,2,3,0,0,1,2,3,3,0,1,0,1,0,1,2,3,1,0,1
2,3,2,3,0,0,1,2,3,0,1,0,1,0,1,2,3,0,1,2
3,1,2,3,0,0,1,2,0,1,2,0,0,1,2,3,0,0,1,2
0,1,2,3,2,0,0,0,1,2,3,0,0,1,2,3,0,1,2,3
0,1,2,3,0,0,1,2,3,0,1,0,0,1,2,0,1,2,3,3
